Date,Open,High,Low,Close,Volume,Adjusted Close
2015-07-01,17638.12,17801.83,17638.12,17757.91,87010000.0,17757.91
2015-06-30,17599.96,17714.66,17576.5,17619.51,126460000.0,17619.51
2015-06-29,17936.74,17936.74,17590.55,17596.35,116340000.0,17596.35
2015-06-26,17892.03,18013.15,17892.03,17946.68,158120000.0,17946.68
2015-06-25,17977.11,18036.1,17890.36,17890.36,78990000.0,17890.36
2015-06-24,18139.1,18139.1,17966.07,17966.07,104980000.0,17966.07
2015-06-23,18121.78,18188.81,18108.1,18144.07,75970000.0,18144.07
2015-06-22,18027.63,18181.67,18027.63,18119.78,77780000.0,18119.78
2015-06-19,18116.24,18117.71,18010.58,18015.95,258300000.0,18015.95
2015-06-18,17944.61,18174.73,17944.61,18115.84,94460000.0,18115.84
2015-06-17,17909.58,17998.0,17839.65,17935.74,92410000.0,17935.74
2015-06-16,17787.43,17919.62,17774.12,17904.48,77510000.0,17904.48
2015-06-15,17890.76,17890.76,17698.42,17791.17,91920000.0,17791.17
2015-06-12,18035.83,18035.83,17857.07,17898.84,83760000.0,17898.84
2015-06-11,18001.27,18109.77,18001.27,18039.37,89490000.0,18039.37
2015-06-10,17765.38,18045.14,17765.38,18000.4,96980000.0,18000.4
2015-06-09,17766.95,17817.83,17714.97,17764.04,90550000.0,17764.04
2015-06-08,17849.46,17852.35,17760.61,17766.55,86300000.0,17766.55
2015-06-05,17905.38,17940.78,17822.9,17849.46,89140000.0,17849.46
2015-06-04,18072.47,18087.15,17876.95,17905.58,93470000.0,17905.58
2015-06-03,18018.42,18168.09,18010.42,18076.27,73120000.0,18076.27
2015-06-02,18033.33,18091.87,17925.33,18011.94,77550000.0,18011.94
2015-06-01,18017.82,18105.83,17982.06,18040.37,85640000.0,18040.37
2015-05-29,18128.12,18128.12,17967.74,18010.68,139810000.0,18010.68
2015-05-28,18154.14,18154.14,18066.4,18126.12,67510000.0,18126.12
2015-05-27,18045.08,18190.35,18045.08,18162.99,96400000.0,18162.99
2015-05-26,18229.75,18229.75,17990.02,18041.54,109440000.0,18041.54
2015-05-22,18286.87,18286.87,18217.14,18232.02,78890000.0,18232.02
2015-05-21,18285.87,18314.89,18249.9,18285.74,84270000.0,18285.74
2015-05-20,18315.06,18350.13,18272.56,18285.4,80190000.0,18285.4
2015-05-19,18300.48,18351.36,18261.35,18312.39,87200000.0,18312.39
